scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops,noPathLastRound,hopCapExceededDrops,chContactCount,tourTimeSec
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,1,0.599253,12176,0,0,0,2103,0,0,0,1.81348,0.490933,-1,-1,-1,19.6431,8,0,0,180,0,0,250.925
AGAPC,200,1000,1000,604.491,250,512,10,1,0.370136,12176,0,0,0,2093,0,0,0,1.81348,0.490933,-1,-1,-1,96.4247,4,0,0,169,0,0,119.325
EGATS-N,200,1000,1000,604.491,250,512,10,1,0.401815,12176,0,0,0,2107,0,0,0,1.81348,0.490933,-1,-1,-1,60.9853,4,0,0,185,0,0,106.289
RCGA-ABC,200,1000,1000,604.491,250,512,10,1,0.37702,12176,0,0,0,2113,0,0,0,1.81348,0.490933,-1,-1,-1,100.283,5,0,0,175,0,0,69.0082
DGA-M,200,1000,1000,604.491,250,512,10,1,0.386794,12176,0,0,0,2093,0,0,0,1.81348,0.490933,-1,-1,-1,102.048,4,0,0,156,0,0,136.802
CGAPD,200,1000,1000,604.491,250,512,10,1,0,12176,0,0,0,2114,0,0,0,1.81348,0.490933,-1,-1,-1,87.6208,0,0,0,187,0,0,279.834
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,2,0.598761,12169,0,0,0,2093,0,0,0,1.81348,0.490933,-1,-1,-1,21.2847,8,0,0,181,0,0,290.768
AGAPC,200,1000,1000,604.491,250,512,10,2,0.377431,12169,0,0,0,2103,0,0,0,1.81348,0.490933,-1,-1,-1,87.1835,4,0,0,172,0,0,85.6193
EGATS-N,200,1000,1000,604.491,250,512,10,2,0.388232,12169,0,0,0,2091,0,0,0,1.81348,0.490933,-1,-1,-1,73.1372,4,0,0,167,0,0,124.892
RCGA-ABC,200,1000,1000,604.491,250,512,10,2,0.364126,12169,0,0,0,2102,0,0,0,1.81348,0.490933,-1,-1,-1,93.6252,5,0,0,176,0,0,117.729
DGA-M,200,1000,1000,604.491,250,512,10,2,0.365562,12169,0,0,0,2092,0,0,0,1.81348,0.490933,-1,-1,-1,94.1858,4,0,0,188,0,0,131.296
CGAPD,200,1000,1000,604.491,250,512,10,2,0,12169,0,0,0,2104,0,0,0,1.81348,0.490933,-1,-1,-1,84.9446,0,0,0,177,0,0,275.648
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,3,0.593103,12175,0,0,0,2105,0,0,0,1.81348,0.490933,-1,-1,-1,23.8831,8,0,0,175,0,0,178.603
AGAPC,200,1000,1000,604.491,250,512,10,3,0.370089,12175,0,0,0,2090,0,0,0,1.81348,0.490933,-1,-1,-1,90.5498,4,0,0,181,0,0,90.839
EGATS-N,200,1000,1000,604.491,250,512,10,3,0.371332,12175,0,0,0,2103,0,0,0,1.81348,0.490933,-1,-1,-1,113.879,4,0,0,174,0,0,105.666
RCGA-ABC,200,1000,1000,604.491,250,512,10,3,0.353143,12175,0,0,0,2096,0,0,0,1.81348,0.490933,-1,-1,-1,122.59,5,0,0,182,0,0,59.0332
DGA-M,200,1000,1000,604.491,250,512,10,3,0.346921,12175,0,0,0,2091,0,0,0,1.81348,0.490933,-1,-1,-1,74.6589,4,0,0,171,0,0,149.139
CGAPD,200,1000,1000,604.491,250,512,10,3,0,12175,0,0,0,2104,0,0,0,1.81348,0.490933,-1,-1,-1,70.733,0,0,0,177,0,0,293.633
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,4,0.576102,12172,0,0,0,2106,0,0,0,1.81348,0.490933,-1,-1,-1,19.0535,8,0,0,174,0,0,250.882
AGAPC,200,1000,1000,604.491,250,512,10,4,0.37232,12172,0,0,0,2102,0,0,0,1.81348,0.490933,-1,-1,-1,50.5499,4,0,0,178,0,0,144.748
EGATS-N,200,1000,1000,604.491,250,512,10,4,0.38947,12172,0,0,0,2107,0,0,0,1.81348,0.490933,-1,-1,-1,72.1409,4,0,0,184,0,0,149.851
RCGA-ABC,200,1000,1000,604.491,250,512,10,4,0.377861,12172,0,0,0,2104,0,0,0,1.81348,0.490933,-1,-1,-1,64.5686,5,0,0,185,0,0,118.324
DGA-M,200,1000,1000,604.491,250,512,10,4,0.373821,12172,0,0,0,2096,0,0,0,1.81348,0.490933,-1,-1,-1,78.4666,4,0,0,169,0,0,112.31
CGAPD,200,1000,1000,604.491,250,512,10,4,0,12172,0,0,0,2099,0,0,0,1.81348,0.490933,-1,-1,-1,68.4505,0,0,0,187,0,0,269.394
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,5,0.590103,12178,0,0,0,2091,0,0,0,1.81348,0.490933,-1,-1,-1,25.0786,8,0,0,161,0,0,179.672
AGAPC,200,1000,1000,604.491,250,512,10,5,0.394582,12178,0,0,0,2112,0,0,0,1.81348,0.490933,-1,-1,-1,89.8779,4,0,0,183,0,0,145.719
EGATS-N,200,1000,1000,604.491,250,512,10,5,0.386222,12178,0,0,0,2097,0,0,0,1.81348,0.490933,-1,-1,-1,93.9236,4,0,0,167,0,0,169.715
RCGA-ABC,200,1000,1000,604.491,250,512,10,5,0.390635,12178,0,0,0,2106,0,0,0,1.81348,0.490933,-1,-1,-1,135.907,5,0,0,183,0,0,64.249
DGA-M,200,1000,1000,604.491,250,512,10,5,0.384035,12178,0,0,0,2102,0,0,0,1.81348,0.490933,-1,-1,-1,103.817,4,0,0,180,0,0,103.619
CGAPD,200,1000,1000,604.491,250,512,10,5,0,12178,0,0,0,2093,0,0,0,1.81348,0.490933,-1,-1,-1,60.5522,0,0,0,166,0,0,314.28
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,6,0.608377,12179,0,0,0,2109,0,0,0,1.81348,0.490933,-1,-1,-1,24.4224,8,0,0,188,0,0,277.817
AGAPC,200,1000,1000,604.491,250,512,10,6,0.374902,12179,0,0,0,2111,0,0,0,1.81348,0.490933,-1,-1,-1,94.2116,4,0,0,187,0,0,115.597
EGATS-N,200,1000,1000,604.491,250,512,10,6,0.392713,12179,0,0,0,2098,0,0,0,1.81348,0.490933,-1,-1,-1,77.29,4,0,0,154,0,0,104.105
RCGA-ABC,200,1000,1000,604.491,250,512,10,6,0.378803,12179,0,0,0,2109,0,0,0,1.81348,0.490933,-1,-1,-1,122.163,5,0,0,170,0,0,36.4665
DGA-M,200,1000,1000,604.491,250,512,10,6,0.393703,12179,0,0,0,2112,0,0,0,1.81348,0.490933,-1,-1,-1,79.2287,4,0,0,193,0,0,105.365
CGAPD,200,1000,1000,604.491,250,512,10,6,0,12179,0,0,0,2107,0,0,0,1.81348,0.490933,-1,-1,-1,60.7147,0,0,0,190,0,0,264.783
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,7,0.584926,12175,0,0,0,2083,0,0,0,1.81348,0.490933,-1,-1,-1,25.9039,8,0,0,183,0,0,223.3
