scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops,noPathLastRound,hopCapExceededDrops,chContactCount,tourTimeSec
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,1,0.599253,12176,9816,10746,14,437,0.11498,0.0948632,31.5719,1.98054,0.479907,-1,-1,-1,19.6431,8,0,0,180,2122,25,250.925
AGAPC,200,1000,1000,604.491,250,512,10,1,0.370136,12176,9891,10817,4,425,0.0328515,0.0271038,2.25553,1.99406,0.47983,-1,-1,-1,96.4247,4,0,0,169,2103,19,119.325
EGATS-N,200,1000,1000,604.491,250,512,10,1,0.401815,12176,9763,10669,4,462,0.0328515,0.0271038,9.76023,1.99109,0.47979,-1,-1,-1,60.9853,4,0,0,185,2113,24,106.289
RCGA-ABC,200,1000,1000,604.491,250,512,10,1,0.37702,12176,9749,10643,60,460,0.492773,0.406557,76.285,1.98569,0.479594,-1,-1,-1,100.283,5,0,0,175,2091,22,69.0082
DGA-M,200,1000,1000,604.491,250,512,10,1,0.386794,12176,9764,10688,55,452,0.451708,0.372677,92.077,1.98459,0.479889,-1,-1,-1,102.048,4,0,0,156,2088,23,136.802
CGAPD,200,1000,1000,604.491,250,512,10,1,0,12176,9836,10718,11,448,0.0903417,0.0745354,14.2856,1.97975,0.478714,-1,-1,-1,87.6208,0,0,0,187,2072,30,279.834
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,2,0.598761,12169,9816,10972,7,446,0.0575232,0.0474316,3.71144,2.05094,0.481647,-1,-1,-1,21.2847,8,0,0,181,2387,23,290.768
AGAPC,200,1000,1000,604.491,250,512,10,2,0.377431,12169,9744,10896,0,461,0,0,0,2.03572,0.482477,-1,-1,-1,87.1835,4,0,0,172,2405,22,85.6193
EGATS-N,200,1000,1000,604.491,250,512,10,2,0.388232,12169,9814,10968,7,432,0.0575232,0.0474316,22.3046,2.05465,0.482616,-1,-1,-1,73.1372,39,0,0,173,2426,22,124.892
RCGA-ABC,200,1000,1000,604.491,250,512,10,2,0.364126,12169,9662,10874,6,479,0.0493056,0.0406557,3.00656,2.03205,0.481468,-1,-1,-1,93.6252,5,0,0,176,2382,21,117.729
DGA-M,200,1000,1000,604.491,250,512,10,2,0.365562,12169,9792,10924,8,457,0.0657408,0.0542075,14.7624,2.04866,0.481492,-1,-1,-1,94.1858,4,0,0,188,2349,15,131.296
CGAPD,200,1000,1000,604.491,250,512,10,2,0,12169,9858,10998,37,422,0.304051,0.25071,72.0461,2.06051,0.481721,-1,-1,-1,84.9446,0,0,0,177,2416,22,275.648
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,3,0.593103,12175,9192,9692,4,548,0.0328542,0.0271038,2.75553,1.93014,0.480879,-1,-1,-1,23.8831,8,0,0,175,1932,21,178.603
AGAPC,200,1000,1000,604.491,250,512,10,3,0.370089,12175,9035,9537,5,579,0.0410678,0.0338797,4.40678,1.9244,0.479364,-1,-1,-1,90.5498,4,0,0,181,1969,16,90.839
EGATS-N,200,1000,1000,604.491,250,512,10,3,0.371332,12175,9143,9657,4,557,0.0328542,0.0271038,2.00553,1.93144,0.478809,-1,-1,-1,113.879,4,0,0,174,1898,22,105.666
RCGA-ABC,200,1000,1000,604.491,250,512,10,3,0.353143,12175,9206,9714,4,556,0.0328542,0.0271038,3.50699,1.93054,0.478489,-1,-1,-1,122.59,5,0,0,182,1917,17,59.0332
DGA-M,200,1000,1000,604.491,250,512,10,3,0.346921,12175,9081,9571,0,565,0,0,0,1.92995,0.480551,-1,-1,-1,74.6589,4,0,0,171,1892,16,149.139
CGAPD,200,1000,1000,604.491,250,512,10,3,0,12175,9117,9583,13,534,0.106776,0.0880873,13.7817,1.92076,0.480029,-1,-1,-1,70.733,0,0,0,177,1910,26,293.633
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,4,0.576102,12172,8888,9408,21,584,0.172527,0.142295,66.4265,1.94201,0.482669,-1,-1,-1,19.0535,8,0,0,174,1773,27,250.882
AGAPC,200,1000,1000,604.491,250,512,10,4,0.37232,12172,8853,9437,1,608,0.00821558,0.00677594,0.00552622,1.94577,0.481739,-1,-1,-1,50.5499,4,0,0,178,1762,16,144.748
EGATS-N,200,1000,1000,604.491,250,512,10,4,0.38947,12172,8941,9481,2,585,0.0164312,0.0135519,1.44142,1.92496,0.482223,-1,-1,-1,72.1409,4,0,0,184,1744,22,149.851
RCGA-ABC,200,1000,1000,604.491,250,512,10,4,0.377861,12172,8923,9449,8,598,0.0657246,0.0542075,1.25021,1.93694,0.481203,-1,-1,-1,64.5686,5,0,0,185,1792,19,118.324
DGA-M,200,1000,1000,604.491,250,512,10,4,0.373821,12172,8800,9324,22,604,0.180743,0.149071,19.0802,1.93204,0.482234,-1,-1,-1,78.4666,4,0,0,169,1805,19,112.31
CGAPD,200,1000,1000,604.491,250,512,10,4,0,12172,9164,9712,29,507,0.238252,0.196502,101.168,1.96038,0.481247,-1,-1,-1,68.4505,0,0,0,187,1773,31,269.394
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,5,0.590103,12178,9700,10380,7,450,0.0574807,0.0474316,2.07961,1.95617,0.472757,-1,-1,-1,25.0786,8,0,0,161,1957,20,179.672
AGAPC,200,1000,1000,604.491,250,512,10,5,0.394582,12178,9647,10305,2,463,0.0164231,0.0135519,4.00553,1.94512,0.473205,-1,-1,-1,89.8779,5,0,0,183,1962,23,145.719
EGATS-N,200,1000,1000,604.491,250,512,10,5,0.386222,12178,9653,10377,6,461,0.0492692,0.0406557,4.83992,1.94275,0.47378,-1,-1,-1,93.9236,4,0,0,167,1904,25,169.715
