scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,5,0.579808,289083,4557,951,600,279575,0.207553,8.192,2.24824,70,0,34.4,37.55,112.95,19.8406,4,754,2903
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,7,0.564955,293479,9853,2932,2701,278626,0.920338,36.8777,0.428725,70,0,34.4,37.35,118.8,20.8526,6,4452,2500
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,1,0.57658,290952,6904,3528,2952,279091,1.0146,40.3046,0.42865,70,0,34.55,37.45,110.85,15.1485,5,1702,1700
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,3,0.569958,292062,8252,4824,2900,278810,0.99294,39.5947,1.25848,70,0,34.35,37.5,137.9,18.6804,4,1951,1500
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,4,0.559789,291101,7103,3694,2649,279043,0.909993,36.1677,3.03479,70,0,34.35,37.05,123.45,28.825,6,1402,2050
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,2,0.583966,296879,13805,5000,3701,278113,1.24664,50.531,1.0785,70,0,34.45,37.4,131.6,26.2958,4,6203,2650
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,6,0.571857,291255,7253,4082,2199,279002,0.755008,30.0237,3.57128,70,0,34.4,37.1,113.45,26.1341,11,1702,1500
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,8,0.587376,301214,18806,2730,1701,277408,0.564715,23.2243,0.427951,70,0,34.45,37.2,126.6,16.2239,14,10205,5950
AGAPC,100,1000,1000,300,250,512,10,1,0.360582,294316,10952,36,0,278412,0,0,0,70,0,34.55,37.25,114.15,80.8317,5,7952,3000
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,10,0.575387,292951,9254,2690,2101,278737,0.717185,28.6857,0.576547,70,0,34.45,37.15,131.3,22.0552,5,4203,2400
IAGAPC-Enhanced,100,1000,1000,300,250,512,10,9,0.564951,303978,22255,7213,5151,276850,1.69453,70.3283,0.428752,70,0,34.4,37.15,145.45,29.3792,9,10504,4600
AGAPC,100,1000,1000,300,250,512,10,2,0.374845,295731,12555,3028,2502,278311,0.846039,34.1606,0.551433,70,0,34.45,37.4,145.5,96.4575,3,5103,4500
AGAPC,100,1000,1000,300,250,512,10,4,0.349976,292640,8853,2281,1100,278787,0.375888,15.0187,0.430247,70,0,34.35,36.75,131.1,104.429,4,4453,2150
AGAPC,100,1000,1000,300,250,512,10,3,0.368317,298616,15904,4955,3300,277751,1.1051,45.056,1.61122,70,0,34.35,37.55,149.35,74.8142,3,7303,3700
AGAPC,100,1000,1000,300,250,512,10,9,0.34288,293343,9605,42,0,278738,0,0,0,70,0,34.4,37.15,134.7,82.146,3,6155,3450
AGAPC,100,1000,1000,300,250,512,10,5,0.371927,293134,9404,3367,3102,278730,1.05822,42.3526,0.779995,70,0,34.4,37.55,105.2,67.5389,3,2602,3500
AGAPC,100,1000,1000,300,250,512,10,7,0.363567,301517,19156,2623,1300,277361,0.431153,17.7493,0.429559,70,0,34.4,37.5,133.2,66.6973,7,11106,5500
AGAPC,100,1000,1000,300,250,512,10,8,0.387121,294363,10904,2776,1598,278504,0.542867,21.818,5.46943,70,0,34.4,37.25,128.1,92.1944,5,4254,3950
AGAPC,100,1000,1000,300,250,512,10,6,0.384373,294913,11455,4789,2643,278458,0.896197,36.0858,0.546805,70,0,34.4,37.2,104.9,64.9616,6,3600,3154
EGATS-N,100,1000,1000,300,250,512,10,4,0.350949,299452,16953,60,0,277593,0,0,0,70,0,34.35,36.75,185.8,97.6999,7,12303,4650
EGATS-N,100,1000,1000,300,250,512,10,2,0.381862,288886,4404,2775,1652,279482,0.571852,22.5553,1.08724,70,0,34.45,37.55,104.4,72.2192,6,251,1401
AGAPC,100,1000,1000,300,250,512,10,10,0.373929,294361,10854,5478,3199,278507,1.08676,43.677,3.55137,70,0,34.45,37.85,133.9,91.7886,3,2151,3302
EGATS-N,100,1000,1000,300,250,512,10,3,0.399999,292566,8953,3033,662,278753,0.226274,9.03851,9.25731,70,0,34.35,37.55,134.85,75.4949,3,1853,4150
EGATS-N,100,1000,1000,300,250,512,10,1,0.37849,297941,14907,5423,1749,278034,0.587029,23.8797,5.21728,70,0,34.55,37.4,144.6,107.455,7,5053,4503
EGATS-N,100,1000,1000,300,250,512,10,7,0.377342,294238,10753,602,549,278485,0.186584,7.49568,4.81079,70,0,34.4,37.5,147.95,91.4219,5,6553,3650
EGATS-N,100,1000,1000,300,250,512,10,5,0.387061,290883,6705,3774,1953,279178,0.671404,26.665,0.43091,70,0,34.4,37.4,127.05,87.5522,6,1452,1500
EGATS-N,100,1000,1000,300,250,512,10,6,0.361105,299296,16804,4823,2500,277611,0.835293,34.1333,1.32274,70,0,34.4,37.1,129.3,108.035,3,7154,4900
EGATS-N,100,1000,1000,300,250,512,10,8,0.389612,311730,31058,716,400,275672,0.128316,5.46133,0.43637,70,0,34.4,37.2,161.45,82.2303,3,22008,8450
RCGA-ABC,100,1000,1000,300,250,512,10,2,0.365778,289223,5001,2592,2251,279255,0.778292,30.7337,0.706168,70,0,34.45,37.35,121.05,71.1865,5,700,1750
RCGA-ABC,100,1000,1000,300,250,512,10,3,0.347376,300108,17655,525,450,277524,0.149946,6.144,2.85347,70,0,34.35,37.55,152.35,109.204,7,11355,5850
