IAGAPC-Enhanced
Round,MaxResidualEnergy,AvgHops,MinDelay,NetworkLifetime,MinDistToCH,Throughput,ProcessCapability,InterClusterDist,MinMutationRate,PacketsDelivered,PacketLoss,TotalEnergyConsumed,EnergyEfficiency,ProcessingTime(ms)
1,150.00,5.36,2.8125,8.00,14.2790,6.8750,0.5500,267.62,0.3000,55,0,3.12,17.65,1411.00
2,150.00,5.36,2.8125,16.00,14.2790,6.8750,0.5500,267.62,0.3000,110,0,6.23,17.65,1411.00
3,150.00,5.36,2.8125,24.00,14.2790,6.8750,0.5500,267.62,0.3000,165,0,9.35,17.65,1411.00
4,150.00,5.36,2.8125,32.00,14.2790,6.8750,0.5500,267.62,0.3000,220,0,12.47,17.65,1411.00
5,150.00,5.36,2.8125,40.00,14.2790,6.8750,0.5500,267.62,0.3000,275,0,15.58,17.65,1411.00
6,150.00,5.36,2.8125,48.00,14.2790,6.8750,0.5500,267.62,0.3000,330,0,18.70,17.65,1411.00
7,150.00,5.36,2.8125,56.00,14.2790,6.8750,0.5500,267.62,0.3000,385,0,21.82,17.65,1411.00
8,150.00,5.36,2.8125,64.00,14.2790,6.8750,0.5500,267.62,0.3000,440,0,24.94,17.65,1411.00
9,150.00,5.36,2.8125,72.00,14.2790,6.8750,0.5500,267.62,0.3000,495,0,28.05,17.65,1411.00
10,150.00,5.36,2.8125,80.00,14.2790,6.8750,0.5500,267.62,0.3000,550,0,31.17,17.65,1411.00
11,150.00,5.36,2.8125,88.00,14.2790,6.8750,0.5500,267.62,0.3000,605,0,34.29,17.65,1411.00
12,150.00,5.36,2.8125,96.00,14.2790,6.8750,0.5500,267.62,0.3000,660,0,37.40,17.65,1411.00
13,150.00,5.36,2.8125,104.00,14.2790,6.8750,0.5500,267.62,0.3000,715,0,40.52,17.65,1411.00
14,150.00,5.36,2.8125,112.00,14.2790,6.8750,0.5500,267.62,0.3000,770,0,43.64,17.65,1411.00
15,150.00,5.36,2.8125,120.00,14.2790,6.8750,0.5500,267.62,0.3000,825,0,46.75,17.65,1411.00
16,150.00,5.36,2.8125,128.00,14.2790,6.8750,0.5500,267.62,0.3000,880,0,49.87,17.65,1411.00
